contract_id,customer_id,contract_start,contract_term,deposit,monthly_amt
1,127,8/17/2019,12,"$53,000.00","$11,600.00"
2,119,12/1/2019,22,"$77,000.00","$14,600.00"
3,160,5/1/2019,15,"$13,000.00","$22,800.00"
4,7,12/8/2019,23,"$56,000.00","$11,400.00"
5,144,2/11/2019,7,"$21,000.00","$19,800.00"
6,75,8/7/2019,9,"$74,000.00","$13,500.00"
7,189,5/10/2019,16,"$75,000.00","$9,200.00"
8,111,2/5/2019,20,"$31,000.00","$15,700.00"
9,107,7/13/2019,3,"$76,000.00","$11,000.00"
10,44,12/26/2019,20,"$52,000.00","$8,800.00"
11,6,12/7/2019,4,"$26,000.00","$19,100.00"
12,125,8/30/2019,9,"$20,000.00","$21,900.00"
13,89,6/16/2019,15,"$51,000.00","$15,500.00"
14,133,12/29/2019,19,"$95,000.00","$20,100.00"
15,135,7/11/2019,14,"$41,000.00","$23,700.00"
16,148,5/15/2019,13,"$78,000.00","$17,500.00"
17,164,5/4/2019,21,"$28,000.00","$11,800.00"
18,119,5/18/2019,8,"$79,000.00","$10,700.00"
19,67,5/8/2019,22,"$12,000.00","$12,100.00"
20,57,1/16/2019,18,"$16,000.00","$5,900.00"
21,89,9/12/2019,5,"$56,000.00","$8,300.00"
22,176,5/23/2019,11,"$94,000.00","$24,400.00"
23,60,7/13/2019,1,"$29,000.00","$21,400.00"
24,120,12/5/2019,24,"$33,000.00","$17,700.00"
25,59,3/27/2019,4,"$87,000.00","$19,000.00"
26,6,3/3/2019,17,"$69,000.00","$19,400.00"
27,127,2/5/2019,20,"$86,000.00","$16,300.00"
28,187,8/29/2019,11,"$71,000.00","$17,200.00"
29,137,9/26/2019,13,"$97,000.00","$21,800.00"
30,104,12/28/2019,6,"$92,000.00","$6,900.00"
31,73,6/17/2019,9,"$13,000.00","$17,100.00"
32,7,4/8/2019,10,"$60,000.00","$19,300.00"
33,23,12/11/2019,3,"$43,000.00","$11,900.00"
34,116,2/2/2019,15,"$70,000.00","$14,100.00"
35,133,4/16/2019,23,"$36,000.00","$8,700.00"
36,59,12/22/2019,11,"$30,000.00","$13,200.00"
37,107,10/28/2019,2,"$49,000.00","$22,600.00"
38,25,3/17/2019,18,"$75,000.00","$13,100.00"
39,92,8/15/2019,7,"$36,000.00","$14,800.00"
