id,company,sector,industry,email,address,city,state,zip
1,Bubblebox,Capital Goods,Military/Government/Technical,kyerson0@bizjournals.com,76 Randy Circle,San Diego,CA,92170
2,Izio,Energy,Oil & Gas Production,farlet1@comcast.net,15360 Village Green Street,Spokane,WA,99252
3,Twitterworks,n/a,n/a,alerohan2@ox.ac.uk,29 Hovde Hill,Milwaukee,WI,53234
4,Viva,Health Care,Major Pharmaceuticals,wgiovanitti3@nytimes.com,074 Center Place,Topeka,KS,66667
5,Jabberstorm,Technology,Computer Software: Prepackaged Software,pscallon4@fc2.com,4 Moose Way,Terre Haute,IN,47805
6,Teklist,Technology,Radio And Television Broadcasting And Communications Equipment,kformigli5@symantec.com,085 Messerschmidt Street,San Antonio,TX,78245
7,Meedoo,n/a,n/a,ediscombe6@epa.gov,38 Shoshone Lane,El Paso,TX,79994
8,Skinix,Public Utilities,Natural Gas Distribution,lbavidge7@theguardian.com,88 Hagan Place,Little Rock,AR,72215
9,Thoughtbridge,n/a,n/a,hocodihie8@nbcnews.com,3 Lien Drive,Washington,DC,20215
10,Twitterlist,Technology,Computer Software: Prepackaged Software,kgerhardt9@soup.io,567 Cascade Plaza,Vancouver,WA,98664
11,Gabspot,Health Care,Major Pharmaceuticals,sgillinga@irs.gov,71 Bartillon Junction,Chattanooga,TN,37410
12,Mycat,Finance,Major Banks,kdurganb@europa.eu,97 Macpherson Street,Fort Wayne,IN,46825
13,Leexo,Health Care,Major Pharmaceuticals,lbarefordc@facebook.com,36154 Bunting Street,New York City,NY,10131
14,Eamia,n/a,n/a,ezannotellid@pbs.org,0 Cottonwood Trail,North Hollywood,CA,91606
15,Buzzbean,Consumer Non-Durables,Consumer Electronics/Appliances,reslere@mac.com,7472 Tony Avenue,Bronx,NY,10459
16,Kwinu,n/a,n/a,alabetf@gov.uk,688 La Follette Park,Buffalo,NY,14215
17,Plambee,Consumer Durables,Building Products,laupolg@earthlink.net,82 Bobwhite Point,Colorado Springs,CO,80915
18,Abatz,n/a,n/a,bquarrellh@tripadvisor.com,0875 Darwin Avenue,Fresno,CA,93750
19,Mydeo,Consumer Durables,Telecommunications Equipment,kgreeni@digg.com,6 Pierstorff Avenue,Colorado Springs,CO,80915
20,Omba,n/a,n/a,ctreblej@ifeng.com,2120 Kensington Center,Seattle,WA,98185
21,Tanoodle,n/a,n/a,fchaytork@sogou.com,1 Armistice Avenue,Pueblo,CO,81005
22,Jabbercube,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,cgentlel@cnn.com,8275 Arizona Street,Odessa,TX,79764
23,Feedfire,Consumer Durables,Industrial Specialties,rrobynsm@ca.gov,777 La Follette Center,Saint Paul,MN,55114
24,Brainbox,Finance,Real Estate,reasenn@paginegialle.it,37394 Stone Corner Avenue,Chicago,IL,60646
25,Yadel,Finance,Major Banks,cfidello@china.com.cn,56283 Hooker Crossing,Harrisburg,PA,17126
26,Eare,Consumer Services,Real Estate Investment Trusts,shandrekp@amazon.de,212 Portage Center,Kansas City,KS,66112
27,Midel,n/a,n/a,khawleyq@google.com.au,05880 Chive Parkway,El Paso,TX,88546
28,Youbridge,Health Care,Industrial Specialties,msperringr@oracle.com,8 Westport Parkway,Sacramento,CA,95838
29,Yodoo,n/a,n/a,lwinstanleys@noaa.gov,3 Oneill Court,Tucson,AZ,85715
30,Skyba,Consumer Services,Real Estate Investment Trusts,sfussent@skype.com,49623 Thompson Plaza,Miami Beach,FL,33141
31,Rhyloo,Energy,Metal Fabrications,hjealousu@opensource.org,7 Maple Wood Circle,Virginia Beach,VA,23471
32,Blogtags,Finance,Major Banks,tbrunelv@woothemes.com,6926 Dottie Place,Bonita Springs,FL,34135
33,Fivespan,Finance,Major Banks,jcalcuttw@usnews.com,3 Anhalt Court,Baton Rouge,LA,70810
34,Reallinks,Finance,Investment Managers,aramosx@vkontakte.ru,5028 Menomonie Park,Albany,NY,12232
35,Vimbo,Consumer Non-Durables,Beverages (Production/Distribution),kchaplainy@ovh.net,80077 Express Trail,Phoenix,AZ,85015
36,Innotype,n/a,n/a,ishortlandz@irs.gov,05 Sycamore Parkway,Round Rock,TX,78682
37,Twimbo,Consumer Services,Real Estate Investment Trusts,phabberjam10@buzzfeed.com,484 Eagan Road,Phoenix,AZ,85015
38,Roodel,Finance,Investment Bankers/Brokers/Service,sackeroyd11@psu.edu,84166 Elgar Road,Washington,DC,20420
39,Skimia,Consumer Services,Transportation Services,meleshenar12@google.cn,0843 Bartillon Point,Buffalo,NY,14225
40,Feedfish,Finance,Investment Bankers/Brokers/Service,rnodes13@google.es,51602 Kenwood Plaza,Columbus,OH,43226
41,Feedspan,Finance,Finance: Consumer Services,adauby14@soundcloud.com,633 Emmet Drive,Oakland,CA,94605
42,BlogXS,Health Care,Major Pharmaceuticals,ostorry15@yahoo.com,867 Waubesa Road,Nashville,TN,37250
43,Gevee,Basic Industries,Major Chemicals,arickhuss16@huffingtonpost.com,1078 Mccormick Trail,Fredericksburg,VA,22405
44,Thoughtworks,Transportation,Marine Transportation,colivey17@sourceforge.net,82963 Tomscot Way,Portland,OR,97216
45,Kazu,Finance,Property-Casualty Insurers,bwhatley18@nhs.uk,09585 Macpherson Terrace,Santa Barbara,CA,93150
46,Linkbridge,Finance,Specialty Insurers,hbridges19@shareasale.com,128 Green Ridge Way,Madison,WI,53779
47,Yotz,Consumer Services,Real Estate Investment Trusts,pbawcock1a@ycombinator.com,97528 Sherman Hill,Vancouver,WA,98682
48,Babblestorm,n/a,n/a,mdobson1b@fastcompany.com,9181 Service Street,Brooklyn,NY,11247
49,Devbug,n/a,n/a,jambroz1c@ow.ly,5942 1st Hill,Lynchburg,VA,24515
50,Devpoint,Consumer Non-Durables,Farming/Seeds/Milling,gglantz1d@examiner.com,6632 Vera Center,Fort Lauderdale,FL,33355
